SECCION,TOTAL_VOTANTES,MORENAv,ALIANZAv,LN,VOTOS,PARTICIPACION,MORENA,ALIANZA,DIF,CLASF
0546,335,132,126,683,342,50.073206442166914,38.59649122807018,36.8421052631579,1.7543859649122808,MORENA
0547,328,172,76,723,340,47.02627939142462,50.588235294117645,22.352941176470587,28.235294117647058,MORENA
0549,159,79,51,377,167,44.29708222811671,47.30538922155689,30.538922155688624,16.766467065868262,MORENA
0550,423,180,141,807,426,52.78810408921933,42.25352112676056,33.098591549295776,9.154929577464785,MORENA
0551,428,173,141,856,434,50.700934579439256,39.86175115207373,32.48847926267281,7.373271889400918,MORENA
0552,223,86,76,480,224,46.666666666666664,38.392857142857146,33.92857142857143,4.464285714285715,MORENA
0553,388,178,112,821,395,48.11205846528624,45.063291139240505,28.354430379746834,16.70886075949367,MORENA
0554,843,410,233,2297,854,37.17892903787549,48.00936768149883,27.283372365339577,20.725995316159253,MORENA
0555,596,248,187,1318,598,45.371775417298934,41.47157190635451,31.270903010033443,10.20066889632107,MORENA
0556,592,253,179,1273,607,47.682639434406916,41.680395387149915,29.489291598023065,12.19110378912685,MORENA
0557,390,180,128,784,380,48.46938775510204,47.36842105263158,33.68421052631579,13.684210526315795,MORENA
0558,1747,651,618,3595,1758,48.90125173852573,37.03071672354949,35.153583617747444,1.877133105802045,MORENA
0559,648,251,239,1381,659,47.71904417089066,38.08801213960546,36.2670713201821,1.8209408194233632,MORENA
0560,201,106,56,461,221,47.939262472885034,47.963800904977376,25.339366515837103,22.624434389140273,MORENA
0561,214,103,55,451,214,47.450110864745014,48.13084112149533,25.700934579439252,22.429906542056077,MORENA
0562,275,102,92,648,251,38.73456790123457,40.63745019920319,36.65338645418327,3.984063745019917,MORENA
0563,170,82,33,449,153,34.075723830734965,53.59477124183007,21.568627450980394,32.02614379084967,MORENA
0564,3633,1295,1280,9405,3688,39.21318447634237,35.113882863340564,34.70715835140998,0.4067245119305838,MORENA
0565,970,393,306,2132,984,46.15384615384615,39.9390243902439,31.097560975609756,8.841463414634145,MORENA
0566,160,70,47,421,165,39.19239904988124,42.42424242424242,28.484848484848484,13.939393939393938,MORENA
0567,299,146,63,722,304,42.10526315789474,48.026315789473685,20.723684210526315,27.30263157894737,MORENA
0568,570,274,172,1802,584,32.40843507214206,46.917808219178085,29.45205479452055,17.465753424657535,MORENA
0569,1775,877,481,5883,1901,32.313445520992694,46.13361388742767,25.30247238295634,20.831141504471333,MORENA
0570,594,291,164,1976,599,30.313765182186234,48.580968280467445,27.378964941569283,21.202003338898162,MORENA
0571,3754,1458,1185,11419,3516,30.790787284350642,41.467576791808874,33.70307167235495,7.764505119453922,MORENA
0572,177,90,51,476,181,38.02521008403362,49.72375690607735,28.176795580110497,21.54696132596685,MORENA
0573,340,151,107,798,350,43.85964912280702,43.142857142857146,30.571428571428573,12.571428571428573,MORENA
0574,498,199,201,999,513,51.351351351351354,38.79142300194932,39.1812865497076,-0.38986354775828147,ALIANZA
0575,675,277,231,1570,697,44.394904458598724,39.74175035868006,33.14203730272597,6.599713055954091,MORENA
0576,485,169,201,978,500,51.124744376278116,33.8,40.2,-6.400000000000006,ALIANZA
0577,398,199,117,1807,418,23.132263420033205,47.60765550239235,27.99043062200957,19.61722488038278,MORENA
0578,424,210,119,832,433,52.04326923076923,48.49884526558891,27.48267898383372,21.016166281755194,MORENA
0579,717,277,245,1409,719,51.029098651525906,38.525730180806676,34.07510431154381,4.450625869262865,MORENA
